step,loss
13480,0.057
13490,0.042
13500,0.045
13510,0.066
13520,0.061
13530,0.046
13540,0.053
13550,0.069
13560,0.073
13570,0.066
13580,0.043
13590,0.071
13600,0.052
13610,0.073
13620,0.042
13630,0.154
13640,0.094
13650,0.059
13660,0.069
13670,0.105
13680,0.055
13690,0.045
13700,0.054
13710,0.06
13720,0.046
13730,0.074
13740,0.058
13750,0.055
13760,0.067
13770,0.08
13780,0.069
13790,0.075
13800,0.073
13810,0.063
13820,0.06
13830,0.054
13840,0.063
13850,0.055
13860,0.064
13870,0.057
13880,0.057
13890,0.062
13900,0.101
13910,0.038
13920,0.059
13930,0.087
13940,0.098
13950,0.06
13960,0.06
13970,0.058
13980,0.072
13990,0.056
14000,0.056
14010,0.124
14020,0.064
14030,0.056
14040,0.059
14050,0.059
14060,0.071
14070,0.076
14080,0.064
14090,0.093
14100,0.059
14110,0.062
14120,0.051
14130,0.053
14140,0.044
14150,0.058
14160,0.06
14170,0.04
14180,0.052
14190,0.046
14200,0.042
14210,0.045
14220,0.045
14230,0.084
14240,0.032
14250,0.046
14260,0.057
14270,0.056
14280,0.051
14290,0.083
14300,0.064
14310,0.09
14320,0.072
14330,0.095
14340,0.053
14350,0.072
14360,0.059
14370,0.054
14380,0.07
14390,0.087
14400,0.054
14410,0.099
14420,0.06
14430,0.053
14440,0.077
14450,0.066
14460,0.045
14470,0.064
14480,0.057
14490,0.065
14500,0.042
14510,0.043
14520,0.079
14530,0.054
14540,0.062
14550,0.06
14560,0.065
14570,0.051
14580,0.067
14590,0.054
14600,0.057
14610,0.081
14620,0.048
14630,0.061
14640,0.101
14650,0.069
14660,0.047
14670,0.103
14680,0.113
14690,0.085
14700,0.05
14710,0.055
14720,0.05
14730,0.047
14740,0.049
14750,0.05
14760,0.057
14770,0.093
14780,0.059
14790,0.078
14800,0.047
14810,0.07
14820,0.054
14830,0.045
14840,0.065
14850,0.044
14860,0.071
14870,0.044
14880,0.062
14890,0.05
14900,0.068
14910,0.058
14920,0.077
14930,0.076
14940,0.068
14950,0.058
14960,0.078
14970,0.048
14980,0.064
14990,0.035
15000,0.053
15010,0.072
15020,0.055
15030,0.058
15040,0.053
15050,0.067
15060,0.047
15070,0.053
15080,0.067
15090,0.07
15100,0.058
15110,0.059
15120,0.093
15130,0.055
15140,0.053
15150,0.055
15160,0.044
15170,0.049
15180,0.043
15190,0.052
15200,0.049
15210,0.045
15220,0.044
15230,0.043
15240,0.099
15250,0.053
15260,0.047
15270,0.072
15280,0.046
15290,0.057
15300,0.075
15310,0.063
15320,0.042
15330,0.052
15340,0.074
15350,0.053
15360,0.052
15370,0.07
15380,0.089
15390,0.051
15400,0.05
15410,0.065
15420,0.046
15430,0.057
15440,0.056
15450,0.06
15460,0.059
15470,0.047
15480,0.066
15490,0.07
15500,0.055
15510,0.064
15520,0.057
15530,0.066
15540,0.073
15550,0.046
15560,0.064
15570,0.051
15580,0.059
15590,0.046
15600,0.072
15610,0.059
15620,0.057
15630,0.066
15640,0.071
15650,0.047
15660,0.094
15670,0.051
15680,0.063
15690,0.047
15700,0.056
15710,0.044
15720,0.058
15730,0.037
15740,0.044
15750,0.079
15760,0.074
15770,0.059
15780,0.044
15790,0.049
15800,0.07
15810,0.043
15820,0.069
15830,0.061
15840,0.064
15850,0.051
15860,0.042
15870,0.066
15880,0.056
15890,0.053
15900,0.053
15910,0.048
15920,0.047
15930,0.051
15940,0.041
15950,0.039
15960,0.065
15970,0.057
15980,0.045
15990,0.101
16000,0.047
16010,0.109
16020,0.058
16030,0.047
16040,0.052
16050,0.056
16060,0.081
16070,0.093
16080,0.059
16090,0.074
16100,0.065
16110,0.049
16120,0.059
16130,0.08
16140,0.112
16150,0.084
16160,0.065
16170,0.04
16180,0.082
16190,0.059
16200,0.11
16210,0.048
16220,0.059
16230,0.098
16240,0.045
16250,0.054
16260,0.053
16270,0.046
16280,0.046
16290,0.049
16300,0.052
16310,0.057
16320,0.091
16330,0.079
16340,0.045
16350,0.06
16360,0.034
16370,0.041
16380,0.055
16390,0.064
16400,0.062
16410,0.056
16420,0.043
16430,0.066
16440,0.059
16450,0.085
16460,0.076
